Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.93,3.09,240354.83,,,,,,46.31,,48.99,50.44,51.64,561.38
Active Decode Throughput Per User (tokens/sec/user),13.05,1.03,68573.25,,,,,,11.64,,12.65,14.41,17.64,145.55
Active Prefill Throughput (tokens/sec),52.53,6.95,608.28,,,,,,48.13,,57.95,61.00,68.99,49.90
Active Prefill Throughput Per User (tokens/sec/user),8.67,6.91,137.61,,,,,,8.08,,9.38,9.65,9.86,4.62
Active Total Throughput (tokens/sec),99.21,16.86,608.28,,,,,,99.95,,106.92,109.07,109.53,46.61
Credit-to-Start Latency (ms),2.59,0.92,5.00,129.52,0.93,1.05,1.16,1.55,2.77,3.09,4.72,4.82,4.98,1.20
Decode Duration (ms),75723.74,52677.18,83991.11,3786187.22,55904.48,66315.02,70324.94,75300.12,76832.76,78152.94,80050.63,81798.62,83643.11,5316.89
E2E Output Token Throughput (tokens/sec/user),5.74,4.12,12.58,286.86,4.17,4.28,4.38,4.55,5.63,5.96,6.27,11.21,12.25,1.90
Effective Concurrency,9.26,0.00,10.00,,,,,,10.00,,10.00,10.00,10.00,2.01
Effective Decode Concurrency,3.76,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.61
Effective Decode Throughput (tokens/sec),49.57,0.00,240354.83,,,,,,46.30,,48.99,50.43,51.64,559.36
Effective Decode Throughput Per User (tokens/sec/user),12.95,0.00,68573.25,,,,,,11.63,,12.64,14.37,17.64,145.03
Effective Latency (CO-aware) (ms),186480.68,79510.19,242668.32,9324034.14,81663.99,89226.05,159387.38,167820.46,177622.57,219560.20,228275.88,233602.84,239973.07,39370.03
Effective Prefill Concurrency,5.50,0.00,10.00,,,,,,6.00,,7.00,7.00,7.00,1.75
Effective Prefill Throughput (tokens/sec),49.64,0.00,608.28,,,,,,48.13,,57.88,60.82,68.01,49.97
Effective Prefill Throughput Per User (tokens/sec/user),8.19,0.00,137.61,,,,,,8.02,,9.14,9.65,9.72,4.91
Effective Total Throughput (tokens/sec),99.21,0.00,608.28,,,,,,99.95,,106.92,109.07,109.53,46.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,498.64,382.00,577.00,24932.00,396.70,448.00,457.20,474.25,500.00,531.75,537.20,545.65,563.28,37.23
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.63,0.24,1.51,31.35,0.26,0.31,0.35,0.39,0.51,0.59,1.44,1.48,1.50,0.37
HTTP Connection Overhead (ms),0.63,0.24,1.51,31.35,0.26,0.31,0.35,0.39,0.51,0.59,1.44,1.48,1.50,0.37
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),231.83,190.76,235.60,11591.34,199.31,217.42,227.96,231.87,234.86,235.24,235.43,235.51,235.57,7.86
