Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),82.21,0.00,118.27,,,,,,95.00,,96.21,96.50,97.15,25.04
Active Decode Throughput Per User (tokens/sec/user),18.86,0.00,43.87,,,,,,19.11,,20.17,20.94,21.96,2.84
Active Prefill Throughput (tokens/sec),1022.53,204.56,1142.23,,,,,,1142.23,,1142.23,1142.23,1142.23,167.37
Active Prefill Throughput Per User (tokens/sec/user),220.39,204.55,262.87,,,,,,228.45,,228.45,228.45,228.45,10.81
Active Total Throughput (tokens/sec),156.51,16.92,1142.23,,,,,,96.34,,96.34,841.12,1142.23,256.20
Credit-to-Start Latency (ms),2.39,2.14,2.68,11.94,2.15,2.17,2.19,2.26,2.27,2.59,2.64,2.66,2.68,0.21
Decode Duration (ms),26187.03,22971.53,29497.34,130935.16,22972.87,22978.23,22984.93,23005.03,26622.70,28838.56,29233.82,29365.58,29470.99,2780.04
E2E Output Token Throughput (tokens/sec/user),17.73,15.67,19.67,88.63,15.70,15.82,15.97,16.41,17.20,19.67,19.67,19.67,19.67,1.66
Effective Concurrency,4.46,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,1.14
Effective Decode Concurrency,4.10,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,1.56
Effective Decode Throughput (tokens/sec),78.15,0.00,118.27,,,,,,94.95,,96.21,96.50,97.15,30.22
Effective Decode Throughput Per User (tokens/sec/user),17.93,0.00,43.87,,,,,,19.10,,20.05,20.94,21.96,4.94
Effective Latency (CO-aware) (ms),28445.70,25418.38,31910.77,142228.48,25418.38,25418.41,25418.43,25418.51,29069.67,30411.15,31310.92,31610.85,31850.79,2630.12
Effective Prefill Concurrency,0.35,0.00,5.00,,,,,,0.00,,0.00,4.00,5.00,1.24
Effective Prefill Throughput (tokens/sec),78.34,0.00,1142.23,,,,,,0.00,,0.00,823.85,1142.23,275.88
Effective Prefill Throughput Per User (tokens/sec/user),16.88,0.00,262.87,,,,,,0.00,,0.00,205.96,228.45,58.69
Effective Total Throughput (tokens/sec),156.48,0.00,1142.23,,,,,,96.34,,96.34,841.12,1142.23,256.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,160.40,139.00,186.00,802.00,139.00,139.00,139.00,139.00,164.00,174.00,181.20,183.60,185.52,18.81
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.14,0.93,1.57,5.69,0.93,0.93,0.94,0.95,1.05,1.20,1.42,1.49,1.55,0.23
HTTP Connection Overhead (ms),1.14,0.93,1.57,5.69,0.93,0.93,0.94,0.95,1.05,1.20,1.42,1.49,1.55,0.23
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.99,34.95,46.04,199.95,34.95,34.96,34.97,34.99,40.82,43.15,44.88,45.46,45.92,4.42
HTTP Data Sent (KB),744.45,743.89,745.00,3722.27,743.91,744.00,744.11,744.45,744.46,744.47,744.79,744.90,744.98,0.35
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),28443.14,25415.79,31908.34,142215.69,25415.80,25415.82,25415.85,25415.95,29066.75,30408.86,31308.55,31608.44,31848.36,2630.18
HTTP Receiving (ms),26187.05,22971.54,29497.34,130935.25,22972.88,22978.25,22984.95,23005.07,26622.73,28838.57,29233.83,29365.58,29470.99,2780.03
HTTP Sending (ms),1.46,1.18,2.03,7.30,1.19,1.19,1.19,1.20,1.33,1.56,1.84,1.93,2.01,0.31
HTTP Total Time (ms),28444.28,25416.72,31909.39,142221.38,25416.74,25416.81,25416.89,25417.15,29068.32,30409.81,31309.56,31609.47,31849.41,2630.18
HTTP Waiting (TTFB) (ms),2254.63,1569.09,2442.84,11273.14,1602.71,1737.18,1905.27,2409.54,2409.67,2441.99,2442.50,2442.67,2442.81,343.08
Image Latency (ms/image),28443.31,25415.93,31908.50,142216.54,25415.93,25415.96,25416.00,25416.12,29066.99,30409.01,31308.70,31608.60,31848.52,2630.19
Image Throughput (images/sec),0.04,0.03,0.04,0.18,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.00
Input Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Inter Chunk Latency (ms),164.29,122.00,1041.44,130935.16,124.25,143.61,145.63,164.93,166.15,167.14,168.03,168.51,170.61,32.46
Inter Token Latency (ms),52.50,46.04,59.11,262.51,46.04,46.05,46.06,46.10,53.35,57.91,58.63,58.87,59.06,5.59
Number of Images (images),1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.04,-0.20,0.00,-0.20,-0.19,-0.16,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Output Sequence Length (tokens),499.80,499.00,500.00,2499.00,499.04,499.20,499.40,500.00,500.00,500.00,500.00,500.00,500.00,0.40
Output Token Throughput Per User (tokens/sec/user),19.27,16.92,21.72,96.34,16.93,16.99,17.06,17.27,18.74,21.69,21.71,21.72,21.72,2.08
Prefill Throughput Per User (tokens/sec/user),228.45,204.53,318.38,1142.23,204.53,204.54,204.54,204.56,207.37,207.39,273.98,296.18,313.94,44.98
Reasoning Token Count (tokens),499.80,499.00,500.00,2499.00,499.04,499.20,499.40,500.00,500.00,500.00,500.00,500.00,500.00,0.40
Request Latency (ms),28443.31,25415.93,31908.50,142216.54,25415.93,25415.96,25416.00,25416.12,29066.99,30409.01,31308.70,31608.60,31848.52,2630.19
Time to First Token (ms),2256.28,1570.45,2444.59,11281.38,1604.07,1738.54,1906.63,2410.89,2411.17,2444.28,2444.47,2444.53,2444.58,343.24
Time to Second Token (ms),355.39,167.03,1041.44,1776.94,167.03,167.03,167.03,167.03,200.58,200.85,705.21,873.33,1007.82,343.36
Tokens In Flight (tokens),3225.14,0.00,4688.26,,,,,,3171.50,,4377.56,4536.25,4663.20,868.71

Metric,Value
Benchmark Duration (sec),31.91
Input Token Throughput (tokens/sec),78.34
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),78.30
Request Count,5.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),2500.00
Total Output Sequence Length (tokens),2499.00
Total Reasoning Tokens (tokens),2499.00
Total Token Throughput (tokens/sec),156.64


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
