Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Effective Total Throughput (tokens/sec),163.37,0.00,882.97,,,,,,94.79,,382.75,882.97,882.97,222.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,159.20,149.00,169.00,796.00,149.32,150.60,152.20,157.00,158.00,163.00,166.60,167.80,168.76,6.65
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.33,1.01,1.75,6.64,1.01,1.02,1.03,1.05,1.10,1.73,1.74,1.75,1.75,0.34
HTTP Connection Overhead (ms),1.33,1.01,1.75,6.64,1.01,1.02,1.03,1.05,1.10,1.73,1.74,1.75,1.75,0.34
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.78,37.44,42.05,198.91,37.52,37.82,38.19,39.31,39.50,40.61,41.47,41.76,41.99,1.52
HTTP Data Sent (KB),744.70,744.31,745.02,3723.51,744.32,744.37,744.44,744.62,744.67,744.89,744.97,745.00,745.02,0.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),29245.35,27717.03,30561.64,146226.77,27767.52,27969.46,28221.90,28979.19,29145.30,29823.61,30266.43,30414.03,30532.12,946.95
HTTP Receiving (ms),26364.77,24682.61,28364.74,131823.87,24731.75,24928.27,25173.93,25910.91,26110.56,26755.05,27720.86,28042.80,28300.35,1204.36
HTTP Sending (ms),1.69,1.33,2.22,8.46,1.33,1.33,1.33,1.34,1.40,2.18,2.20,2.21,2.21,0.41
HTTP Total Time (ms),29246.68,27718.04,30562.74,146233.41,27768.56,27970.62,28223.20,28980.94,29146.35,29825.34,30267.78,30415.26,30533.24,947.02
HTTP Waiting (TTFB) (ms),2878.89,2195.50,3066.39,14394.44,2229.01,2363.02,2530.54,3033.09,3033.40,3066.06,3066.26,3066.32,3066.38,342.01
Image Latency (ms/image),29245.54,27717.19,30561.81,146227.71,27767.67,27969.63,28222.08,28979.43,29145.46,29823.84,30266.62,30414.21,30532.29,946.96
Image Throughput (images/sec),0.03,0.03,0.04,0.17,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.00
Input Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Inter Chunk Latency (ms),166.65,121.10,1035.38,131823.80,133.67,158.42,164.42,165.43,166.36,167.26,168.22,168.87,171.98,31.45
Inter Token Latency (ms),52.86,49.56,56.84,264.28,49.66,50.04,50.51,51.93,52.33,53.62,55.55,56.20,56.71,2.39
Number of Images (images),1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.04,-0.20,0.00,-0.20,-0.19,-0.16,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Output Sequence Length (tokens),499.80,499.00,500.00,2499.00,499.04,499.20,499.40,500.00,500.00,500.00,500.00,500.00,500.00,0.40
Output Token Throughput Per User (tokens/sec/user),18.96,17.59,20.18,94.79,17.63,17.80,18.02,18.65,19.11,19.26,19.81,19.99,20.14,0.84
Prefill Throughput Per User (tokens/sec/user),176.59,162.93,227.58,882.97,162.93,162.93,162.94,162.94,164.75,164.77,202.45,215.01,225.06,25.50
Reasoning Token Count (tokens),499.80,499.00,500.00,2499.00,499.04,499.20,499.40,500.00,500.00,500.00,500.00,500.00,500.00,0.40
Request Latency (ms),29245.54,27717.19,30561.81,146227.71,27767.67,27969.63,28222.08,28979.43,29145.46,29823.84,30266.62,30414.21,30532.29,946.96
Time to First Token (ms),2880.78,2197.06,3068.82,14403.91,2230.56,2364.56,2532.07,3034.58,3034.92,3068.53,3068.70,3068.76,3068.81,342.20
Time to Second Token (ms),351.45,163.31,1035.38,1757.23,163.31,163.31,163.31,163.31,197.44,197.80,700.35,867.86,1001.88,342.31
Tokens In Flight (tokens),3451.14,0.00,4842.28,,,,,,3499.92,,4542.22,4684.35,4810.69,838.18

Metric,Value
Benchmark Duration (sec),30.56
Input Token Throughput (tokens/sec),81.78
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),81.75
Request Count,5.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),2500.00
Total Output Sequence Length (tokens),2499.00
Total Reasoning Tokens (tokens),2499.00
Total Token Throughput (tokens/sec),163.53


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
