Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),57.85,0.00,103.88,,,,,,79.86,,81.61,81.76,82.22,26.38
Active Decode Throughput Per User (tokens/sec/user),22.11,0.00,55.13,,,,,,20.37,,27.28,27.41,27.58,4.15
Active Prefill Throughput (tokens/sec),823.64,221.04,938.30,,,,,,938.30,,938.30,938.30,938.30,149.26
Active Prefill Throughput Per User (tokens/sec/user),337.99,221.04,647.12,,,,,,234.57,,647.12,647.12,647.12,180.69
Active Total Throughput (tokens/sec),111.08,25.64,938.30,,,,,,79.81,,79.81,704.69,938.30,200.82
Credit-to-Start Latency (ms),3.65,2.67,6.45,18.27,2.68,2.72,2.76,2.90,2.93,3.31,5.20,5.82,6.33,1.41
Decode Duration (ms),23998.71,19465.15,27679.21,119993.55,19584.09,20059.84,20654.53,22438.60,24504.35,25906.23,26970.02,27324.62,27608.29,2843.50
E2E Output Token Throughput (tokens/sec/user),19.66,16.71,24.71,98.30,16.76,16.97,17.22,17.98,18.66,20.24,22.92,23.81,24.53,2.77
Effective Concurrency,2.88,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.40
Effective Decode Concurrency,2.67,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.49
Effective Decode Throughput (tokens/sec),55.46,0.00,103.88,,,,,,79.68,,81.48,81.76,82.22,28.28
Effective Decode Throughput Per User (tokens/sec/user),21.20,0.00,55.13,,,,,,20.35,,27.28,27.38,27.58,5.99
Effective Latency (CO-aware) (ms),25873.92,20244.26,29917.09,129369.59,20422.65,21136.20,22028.14,24703.95,26742.46,27761.83,29054.99,29486.04,29830.88,3278.04
Effective Prefill Concurrency,0.21,0.00,4.00,,,,,,0.00,,0.00,1.00,4.00,0.84
Effective Prefill Throughput (tokens/sec),55.61,0.00,938.30,,,,,,0.00,,0.00,647.12,938.30,210.28
Effective Prefill Throughput Per User (tokens/sec/user),22.82,0.00,647.12,,,,,,0.00,,0.00,234.57,647.12,96.94
Effective Total Throughput (tokens/sec),111.07,0.00,938.30,,,,,,79.81,,79.81,704.69,938.30,200.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,158.00,145.00,178.00,790.00,145.20,146.00,147.00,150.00,155.00,162.00,171.60,174.80,177.36,11.47
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.10,0.00,1.81,5.52,0.04,0.20,0.41,1.01,1.10,1.59,1.72,1.77,1.81,0.63
HTTP Connection Overhead (ms),1.10,0.00,1.81,5.52,0.04,0.20,0.41,1.01,1.10,1.59,1.72,1.77,1.81,0.63
HTTP Connection Reused (ratio),0.20,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.80,0.96,0.40
HTTP Data Received (KB),39.48,36.44,44.16,197.39,36.48,36.66,36.88,37.55,38.76,40.48,42.69,43.42,44.01,2.70
HTTP Data Sent (KB),744.66,744.15,744.92,3723.29,744.17,744.26,744.37,744.70,744.75,744.76,744.85,744.89,744.91,0.26
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),25870.07,20237.64,29914.01,129350.36,20416.15,21130.19,22022.74,24700.40,26739.32,27758.99,29052.00,29483.00,29827.80,3279.31
HTTP Receiving (ms),23998.72,19465.13,27679.21,119993.59,19584.07,20059.83,20654.53,22438.64,24504.39,25906.23,26970.01,27324.61,27608.29,2843.51
HTTP Sending (ms),1.46,0.30,2.30,7.31,0.34,0.51,0.71,1.32,1.38,2.01,2.18,2.24,2.28,0.69
HTTP Total Time (ms),25871.18,20237.64,29915.11,129355.88,20416.22,21130.56,22023.47,24702.21,26740.91,27760.00,29053.07,29484.09,29828.91,3279.66
HTTP Waiting (TTFB) (ms),1869.89,772.21,2259.47,9349.46,815.38,988.06,1203.91,1851.45,2232.92,2233.42,2249.05,2254.26,2258.42,569.38
Image Latency (ms/image),25870.26,20237.81,29914.16,129351.32,20416.32,21130.37,22022.94,24700.64,26739.56,27759.15,29052.16,29483.16,29827.96,3279.31
Image Throughput (images/sec),0.04,0.03,0.05,0.20,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.01
Input Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Inter Chunk Latency (ms),152.86,120.26,597.18,119993.55,121.81,122.87,123.89,153.96,155.40,156.44,157.50,158.14,187.18,33.62
Inter Token Latency (ms),48.13,39.01,55.47,240.67,39.25,40.20,41.39,44.97,49.21,52.02,54.09,54.78,55.33,5.72
Number of Images (images),1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.08,-0.20,0.00,-0.40,-0.20,-0.20,-0.20,-0.20,0.00,0.00,0.00,0.00,0.00,0.10
Output Sequence Length (tokens),499.60,499.00,500.00,2498.00,499.00,499.00,499.00,499.00,500.00,500.00,500.00,500.00,500.00,0.49
Output Token Throughput Per User (tokens/sec/user),21.09,18.03,25.64,105.45,18.08,18.27,18.51,19.22,20.32,22.24,24.28,24.96,25.50,2.66
Prefill Throughput Per User (tokens/sec/user),317.08,221.04,647.12,1585.41,221.15,221.57,222.10,223.69,223.72,269.84,496.21,571.66,632.03,166.02
Reasoning Token Count (tokens),499.60,499.00,500.00,2498.00,499.00,499.00,499.00,499.00,500.00,500.00,500.00,500.00,500.00,0.49
Request Latency (ms),25870.26,20237.81,29914.16,129351.32,20416.32,21130.37,22022.94,24700.64,26739.56,27759.15,29052.16,29483.16,29827.96,3279.31
Time to First Token (ms),1871.55,772.66,2262.03,9357.77,815.87,988.71,1204.76,1852.92,2234.95,2235.21,2251.30,2256.67,2260.96,570.03
Time to Second Token (ms),248.12,154.66,564.49,1240.60,154.77,155.19,155.71,157.29,181.90,182.26,411.60,488.05,549.20,158.62
Tokens In Flight (tokens),2101.04,0.00,3820.04,,,,,,2243.62,,3454.31,3630.87,3782.21,1059.45

Metric,Value
Benchmark Duration (sec),44.95
Input Token Throughput (tokens/sec),55.61
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.57
Request Count,5.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),2500.00
Total Output Sequence Length (tokens),2498.00
Total Reasoning Tokens (tokens),2498.00
Total Token Throughput (tokens/sec),111.18


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
