Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connecting (ms),0.50,0.00,1.53,2.51,0.00,0.00,0.00,0.00,0.00,0.98,1.31,1.42,1.51,0.64
HTTP Connection Overhead (ms),0.50,0.00,1.53,2.51,0.00,0.00,0.00,0.00,0.00,0.98,1.31,1.42,1.51,0.64
HTTP Connection Reused (ratio),0.60,0.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),40.25,36.89,44.66,201.23,36.93,37.08,37.27,37.85,40.38,41.45,43.37,44.02,44.53,2.75
HTTP Data Sent (KB),744.75,744.13,745.18,3723.76,744.15,744.24,744.34,744.66,744.67,745.12,745.16,745.17,745.17,0.38
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),22485.61,20681.03,25451.13,112428.07,20695.77,20754.71,20828.39,21049.43,21621.25,23625.22,24720.76,25085.95,25378.09,1797.73
HTTP Receiving (ms),21636.89,19638.86,24437.48,108184.44,19666.05,19774.85,19910.85,20318.84,20890.44,22898.83,23822.02,24129.75,24375.93,1773.27
HTTP Sending (ms),0.87,0.30,1.94,4.36,0.30,0.31,0.33,0.37,0.52,1.23,1.66,1.80,1.92,0.63
HTTP Total Time (ms),22486.12,20682.57,25452.11,112430.58,20697.24,20755.94,20829.32,21049.43,21621.25,23625.22,24721.35,25086.73,25379.03,1797.75
HTTP Waiting (TTFB) (ms),847.85,725.87,1040.24,4239.26,726.04,726.74,727.61,730.23,730.51,1012.42,1029.11,1034.67,1039.12,146.00
Image Latency (ms/image),22485.78,20681.27,25451.30,112428.91,20696.00,20754.93,20828.60,21049.59,21621.39,23625.37,24720.93,25086.11,25378.26,1797.72
Image Throughput (images/sec),0.04,0.04,0.05,0.22,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.00
Input Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Inter Chunk Latency (ms),134.89,120.78,574.74,108184.47,121.54,122.59,123.55,132.32,133.54,134.43,135.42,136.40,201.08,28.27
Inter Token Latency (ms),43.36,39.36,48.97,216.80,39.41,39.63,39.90,40.72,41.86,45.89,47.74,48.36,48.85,3.55
Number of Images (images),1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Output Token Throughput Per User (tokens/sec/user),23.21,20.42,25.41,116.06,20.47,20.69,20.97,21.79,23.89,24.56,25.07,25.24,25.37,1.84
Prefill Throughput Per User (tokens/sec/user),605.87,479.65,688.19,3029.33,480.19,482.36,485.07,493.19,684.05,684.24,686.61,687.40,688.03,97.63
Reasoning Token Count (tokens),500.00,500.00,500.00,2500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00
Request Latency (ms),22485.78,20681.27,25451.30,112428.91,20696.00,20754.93,20828.60,21049.59,21621.39,23625.37,24720.93,25086.11,25378.26,1797.72
Time to First Token (ms),848.89,726.54,1042.42,4244.45,726.71,727.38,728.22,730.74,730.94,1013.81,1030.98,1036.70,1041.28,146.62
Time to Second Token (ms),138.44,131.51,160.64,692.21,131.58,131.86,132.20,133.24,133.37,133.45,149.76,155.20,159.55,11.12
Tokens In Flight (tokens),1311.20,0.00,1910.79,,,,,,1387.89,,1731.51,1807.05,1879.88,335.60

Metric,Value
Benchmark Duration (sec),63.37
Input Token Throughput (tokens/sec),39.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.45
Request Count,5.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),2500.00
Total Output Sequence Length (tokens),2500.00
Total Reasoning Tokens (tokens),2500.00
Total Token Throughput (tokens/sec),78.90


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
