Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),83.32,0.00,133.41,,,,,,102.46,,104.14,104.38,104.64,28.20
Active Decode Throughput Per User (tokens/sec/user),19.97,0.00,43.55,,,,,,20.59,,20.91,21.52,21.98,3.01
Active Prefill Throughput (tokens/sec),827.64,165.55,899.53,,,,,,899.53,,899.53,899.53,899.53,117.46
Active Prefill Throughput Per User (tokens/sec/user),175.99,165.54,183.50,,,,,,179.91,,179.91,179.91,179.91,6.12
Active Total Throughput (tokens/sec),155.69,17.15,899.53,,,,,,105.44,,105.44,899.53,899.53,222.53
Credit-to-Start Latency (ms),2.60,2.54,2.77,12.98,2.54,2.54,2.54,2.55,2.56,2.56,2.69,2.73,2.77,0.09
Decode Duration (ms),24539.94,17330.94,29097.52,122699.72,17519.22,18272.35,19213.76,22038.00,26146.60,28086.67,28693.18,28895.35,29057.09,4339.62
E2E Output Token Throughput (tokens/sec/user),18.76,15.58,24.57,93.81,15.62,15.78,15.97,16.54,17.16,19.95,22.72,23.65,24.38,3.25
Effective Concurrency,4.26,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,1.16
Effective Decode Concurrency,3.82,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,1.61
Effective Decode Throughput (tokens/sec),77.75,0.00,133.41,,,,,,102.28,,104.12,104.38,104.64,34.28
Effective Decode Throughput Per User (tokens/sec/user),18.64,0.00,43.55,,,,,,20.55,,20.91,21.52,21.98,5.77
Effective Latency (CO-aware) (ms),27373.33,20354.02,32086.32,136866.66,20542.30,21295.42,22236.81,25060.99,29135.53,30229.79,31343.71,31715.01,32012.06,4197.49
Effective Prefill Concurrency,0.44,0.00,5.00,,,,,,0.00,,0.00,5.00,5.00,1.38
Effective Prefill Throughput (tokens/sec),77.91,0.00,899.53,,,,,,0.00,,0.00,899.53,899.53,244.36
Effective Prefill Throughput Per User (tokens/sec/user),16.57,0.00,183.50,,,,,,0.00,,0.00,179.91,179.91,51.42
Effective Total Throughput (tokens/sec),155.66,0.00,899.53,,,,,,105.44,,105.44,899.53,899.53,222.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,152.00,105.00,186.00,760.00,106.20,111.00,117.00,135.00,163.00,171.00,180.00,183.00,185.40,28.76
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.27,0.99,1.59,6.35,1.00,1.00,1.01,1.03,1.14,1.59,1.59,1.59,1.59,0.27
HTTP Connection Overhead (ms),1.27,0.99,1.59,6.35,1.00,1.00,1.01,1.03,1.14,1.59,1.59,1.59,1.59,0.27
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),37.86,26.52,45.84,189.30,26.81,27.97,29.42,33.78,40.69,42.46,44.49,45.17,45.71,6.90
HTTP Data Sent (KB),744.69,744.60,744.78,3723.45,744.60,744.60,744.61,744.62,744.67,744.78,744.78,744.78,744.78,0.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
